model,pp_median,pp_lower,pp_upper
xgboost,0.8843952557410388,0.8634488161381969,0.9022851054081885
nn_full,0.866680652105065,0.8429990145478984,0.8869306987114135
nn_lv1,0.8645718750937061,0.839750156778218,0.8858138554037595
nn_lv2,0.856201646588749,0.8309464989635837,0.877969800702484
nn_lv3,0.8317449453004474,0.8026476842167608,0.8563040233414256
nn_lv4,0.7757076742751063,0.7393346215914396,0.8061999989543043
